country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation,grocery_and_pharmacy,parks_change,transit_stations,workplaces,residential_change
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2/15/2020,-6,-4,-11,-9,-4,7
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2/16/2020,-9,-7,-9,-11,-7,7
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2/17/2020,-9,-7,-7,-11,5,6
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2/18/2020,-11,-4,-8,-9,7,6
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2/19/2020,-9,-9,-9,-12,7,4
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2/20/2020,-12,-10,-11,-15,5,3
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2/21/2020,-7,-9,-10,-12,-5,7
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2/22/2020,-7,-3,-11,-9,-3,7
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2/23/2020,-9,-6,-6,-12,-5,6
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2/24/2020,-7,-5,-2,-10,6,5
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2/25/2020,-10,-4,-5,-9,9,5
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2/26/2020,-10,-9,-8,-11,8,3
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2/27/2020,-11,-9,-9,-13,7,2
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2/28/2020,-6,-8,-7,-9,-3,6
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,2/29/2020,-5,-3,-9,-5,-2,6
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,3/1/2020,-5,-3,-2,-5,-3,5
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,3/2/2020,-8,-5,-4,-9,12,5
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,3/3/2020,-12,-6,-10,-10,14,5
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,3/4/2020,-14,-15,-17,-17,11,5
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,3/5/2020,-11,-8,-12,-14,11,2
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,3/6/2020,-3,-5,-9,-9,3,5
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,3/7/2020,-7,4,-12,-9,4,7
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,3/8/2020,-4,2,-4,-11,-2,6
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,3/9/2020,-12,-5,-6,-15,10,6
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,3/10/2020,-15,-5,-11,-15,13,6
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,3/11/2020,-14,-9,-12,-17,11,4
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,3/12/2020,-18,-10,-13,-21,8,3
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,3/13/2020,-15,-12,-15,-21,-2,8
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,3/14/2020,-18,-9,-21,-21,0,9
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,3/15/2020,-19,-10,-16,-23,-5,9
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,3/16/2020,-18,-10,-12,-23,8,8
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,3/17/2020,-24,-13,-18,-24,8,8
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,3/18/2020,-24,-18,-22,-28,7,7
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,3/19/2020,-26,-17,-22,-30,5,5
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,3/20/2020,-21,-14,-19,-27,-4,9
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,3/21/2020,-23,-12,-24,-27,-3,11
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,3/22/2020,-26,-15,-21,-32,-7,11
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,3/23/2020,-23,-11,-15,-29,4,9
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,3/24/2020,-27,-12,-18,-29,6,9
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,3/25/2020,-29,-17,-21,-31,3,8
VN,Vietnam,,,,,,ChIJXx5qc016FTERvmL-4smwO7A,3/26/2020,-34,-17,-22,-35,-1,7
