"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2023","AQS","390990015","1","1","ppb","1","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/02/2023","AQS","390990015","1","1","ppb","1","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/03/2023","AQS","390990015","1","2","ppb","3","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/04/2023","AQS","390990015","1","1","ppb","1","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/05/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/06/2023","AQS","390990015","1","0","ppb","0","Youngstown State","22","92.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/07/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/08/2023","AQS","390990015","1","1","ppb","1","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/09/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/10/2023","AQS","390990015","1","2","ppb","3","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/11/2023","AQS","390990015","1","2","ppb","3","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/12/2023","AQS","390990015","1","2","ppb","3","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/13/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/14/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/15/2023","AQS","390990015","1","1","ppb","1","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/16/2023","AQS","390990015","1","4","ppb","6","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/17/2023","AQS","390990015","1","1","ppb","1","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/18/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/19/2023","AQS","390990015","1","2","ppb","3","Youngstown State","22","92.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/20/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/21/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/22/2023","AQS","390990015","1","1","ppb","1","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/23/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/24/2023","AQS","390990015","1","1","ppb","1","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/25/2023","AQS","390990015","1","1","ppb","1","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/26/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/27/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/28/2023","AQS","390990015","1","2","ppb","3","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"01/29/2023","AQS","390990015","1","2","ppb","3","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
