Date,active_cases,total_deaths,total_cases,daily_deaths,daily_cases,OnceInjectedByDay,TwiceInjectedByDay,OnceInjectedByTime,TwiceInjectedByTime
15-Feb-20,0,0,0,0,0,,,,
16-Feb-20,9,0,16,0,0,,,,
17-Feb-20,9,0,16,0,0,,,,
18-Feb-20,9,0,16,0,0,,,,
19-Feb-20,2,0,16,0,0,,,,
20-Feb-20,2,0,16,0,0,,,,
21-Feb-20,1,0,16,0,0,,,,
22-Feb-20,1,0,16,0,0,,,,
23-Feb-20,1,0,16,0,0,,,,
24-Feb-20,1,0,16,0,0,,,,
25-Feb-20,0,0,16,0,0,,,,
26-Feb-20,0,0,16,0,0,,,,
27-Feb-20,0,0,16,0,0,,,,
28-Feb-20,0,0,16,0,0,,,,
29-Feb-20,0,0,16,0,0,,,,
1-Mar-20,0,0,16,0,0,,,,
2-Mar-20,0,0,16,0,0,,,,
3-Mar-20,0,0,16,0,0,,,,
4-Mar-20,0,0,16,0,0,,,,
5-Mar-20,0,0,16,0,0,,,,
6-Mar-20,1,0,17,0,1,,,,
7-Mar-20,4,0,20,0,3,,,,
8-Mar-20,15,0,31,0,11,,,,
9-Mar-20,16,0,32,0,1,,,,
10-Mar-20,19,0,35,0,3,,,,
11-Mar-20,24,0,40,0,5,,,,
12-Mar-20,29,0,45,0,5,,,,
13-Mar-20,29,0,45,0,0,,,,
14-Mar-20,38,0,54,0,9,,,,
15-Mar-20,42,0,58,0,4,,,,
16-Mar-20,46,0,62,0,4,,,,
17-Mar-20,51,0,67,0,5,,,,
18-Mar-20,62,0,78,0,11,,,,
19-Mar-20,71,0,87,0,9,,,,
20-Mar-20,76,0,93,0,6,,,,
21-Mar-20,79,0,96,0,3,,,,
22-Mar-20,102,0,119,0,23,,,,
23-Mar-20,113,0,130,0,11,,,,
24-Mar-20,125,0,142,0,12,,,,
25-Mar-20,142,0,159,0,17,,,,
26-Mar-20,144,0,164,0,5,,,,
27-Mar-20,155,0,175,0,11,,,,
28-Mar-20,166,0,187,0,12,,,,
29-Mar-20,187,0,212,0,25,,,,
30-Mar-20,168,0,223,0,11,,,,
31-Mar-20,173,0,231,0,8,,,,
1-Apr-20,174,0,237,0,6,,,,
2-Apr-20,180,0,255,0,18,,,,
3-Apr-20,176,0,261,0,6,,,,
4-Apr-20,172,0,262,0,1,,,,
5-Apr-20,173,0,263,0,1,,,,
6-Apr-20,172,0,267,0,4,,,,
7-Apr-20,150,0,273,0,6,,,,
8-Apr-20,147,0,273,0,0,,,,
9-Apr-20,149,0,277,0,4,,,,
10-Apr-20,135,0,279,0,2,,,,
11-Apr-20,136,0,280,0,1,,,,
12-Apr-20,140,0,284,0,4,,,,
13-Apr-20,141,0,287,0,3,,,,
14-Apr-20,119,0,288,0,1,,,,
15-Apr-20,119,0,290,0,2,,,,
16-Apr-20,113,0,290,0,0,,,,
17-Apr-20,92,0,290,0,0,,,,
18-Apr-20,89,0,290,0,0,,,,
19-Apr-20,88,0,290,0,0,,,,
20-Apr-20,76,0,290,0,0,,,,
21-Apr-20,74,0,290,0,0,,,,
22-Apr-20,74,0,290,0,0,,,,
23-Apr-20,74,0,290,0,0,,,,
24-Apr-20,72,0,292,0,2,,,,
25-Apr-20,72,0,292,0,0,,,,
26-Apr-20,72,0,292,0,0,,,,
27-Apr-20,72,0,292,0,0,,,,
28-Apr-20,72,0,292,0,0,,,,
29-Apr-20,70,0,292,0,0,,,,
30-Apr-20,70,0,292,0,0,,,,
1-May-20,70,0,292,0,0,,,,
2-May-20,70,0,292,0,0,,,,
3-May-20,71,0,293,0,1,,,,
4-May-20,71,0,293,0,0,,,,
5-May-20,61,0,293,0,0,,,,
6-May-20,61,0,293,0,0,,,,
7-May-20,80,0,313,0,20,,,,
8-May-20,72,0,313,0,0,,,,
9-May-20,72,0,313,0,0,,,,
10-May-20,72,0,313,0,0,,,,
11-May-20,64,0,313,0,0,,,,
12-May-20,61,0,313,0,0,,,,
13-May-20,61,0,313,0,0,,,,
14-May-20,84,0,344,0,31,,,,
15-May-20,86,0,346,0,2,,,,
16-May-20,90,0,350,0,4,,,,
17-May-20,92,0,352,0,2,,,,
18-May-20,93,0,356,0,4,,,,
19-May-20,93,0,356,0,0,,,,
20-May-20,93,0,356,0,0,,,,
21-May-20,92,0,356,0,0,,,,
22-May-20,89,0,356,0,0,,,,
23-May-20,89,0,356,0,0,,,,
24-May-20,90,0,357,0,1,,,,
25-May-20,86,0,358,0,1,,,,
26-May-20,87,0,359,0,1,,,,
27-May-20,81,0,359,0,0,,,,
28-May-20,81,0,359,0,0,,,,
29-May-20,80,0,359,0,0,,,,
30-May-20,81,0,360,0,1,,,,
31-May-20,81,0,360,0,0,,,,
1-Jun-20,67,0,360,0,0,,,,
2-Jun-20,62,0,360,0,0,,,,
3-Jun-20,58,0,360,0,0,,,,
4-Jun-20,58,0,360,0,0,,,,
5-Jun-20,53,0,360,0,0,,,,
6-Jun-20,54,0,361,0,1,,,,
7-Jun-20,54,0,361,0,0,,,,
8-Jun-20,48,0,364,0,3,,,,
9-Jun-20,48,0,364,0,0,,,,
10-Jun-20,44,0,364,0,0,,,,
11-Jun-20,43,0,364,0,0,,,,
12-Jun-20,42,0,365,0,1,,,,
13-Jun-20,43,0,366,0,1,,,,
14-Jun-20,43,0,366,0,0,,,,
15-Jun-20,43,0,366,0,0,,,,
16-Jun-20,41,0,366,0,0,,,,
17-Jun-20,42,0,367,0,1,,,,
18-Jun-20,49,0,374,0,7,,,,
19-Jun-20,55,0,381,0,7,,,,
20-Jun-20,54,0,381,0,0,,,,
21-Jun-20,54,0,381,0,0,,,,
22-Jun-20,53,0,381,0,0,,,,
23-Jun-20,52,0,381,0,0,,,,
24-Jun-20,55,0,384,0,3,,,,
25-Jun-20,55,0,384,0,0,,,,
26-Jun-20,55,0,385,0,1,,,,
27-Jun-20,57,0,387,0,2,,,,
28-Jun-20,57,0,387,0,0,,,,
29-Jun-20,52,0,387,0,0,,,,
30-Jun-20,52,0,387,0,0,,,,
1-Jul-20,51,0,387,0,0,,,,
2-Jul-20,47,0,387,0,0,,,,
3-Jul-20,47,0,387,0,0,,,,
4-Jul-20,47,0,387,0,0,,,,
5-Jul-20,47,0,387,0,0,,,,
6-Jul-20,63,0,404,0,17,,,,
7-Jul-20,62,0,404,0,0,,,,
8-Jul-20,57,0,404,0,0,,,,
9-Jul-20,57,0,404,0,0,,,,
10-Jul-20,54,0,404,0,0,,,,
11-Jul-20,55,0,405,0,1,,,,
12-Jul-20,57,0,407,0,2,,,,
13-Jul-20,57,0,407,0,0,,,,
14-Jul-20,56,0,408,0,1,,,,
15-Jul-20,63,0,416,0,8,,,,
16-Jul-20,60,0,416,0,0,,,,
17-Jul-20,61,0,417,0,1,,,,
18-Jul-20,60,0,417,0,0,,,,
19-Jul-20,61,0,418,0,1,,,,
20-Jul-20,59,0,419,0,1,,,,
21-Jul-20,74,0,439,0,20,,,,
22-Jul-20,81,0,446,0,7,,,,
23-Jul-20,85,0,450,0,4,,,,
24-Jul-20,86,0,451,0,1,,,,
25-Jul-20,90,0,455,0,4,,,,
26-Jul-20,93,0,458,0,3,,,,
27-Jul-20,105,0,470,0,12,,,,
28-Jul-20,119,0,488,0,18,,,,
29-Jul-20,135,0,504,0,16,,,,
30-Jul-20,207,2,578,2,74,,,,
31-Jul-20,255,3,631,1,53,,,,
