Date,daily_cases,retail_and_recreation,grocery_and_pharmacy,parks_change,transit_stations,workplaces,residential_change
15-Feb-20,,-8,-4,-5,-14,-4,7
16-Feb-20,,-15,-9,-11,-20,-5,8
17-Feb-20,,-16,-12,-10,-19,3,7
18-Feb-20,,-14,-9,-9,-18,10,8
19-Feb-20,,-8,-16,-15,-21,9,6
20-Feb-20,,-2,-18,-17,-5,6,4
21-Feb-20,,-14,-9,-14,-18,-2,7
22-Feb-20,,-8,0,-3,-13,-2,7
23-Feb-20,,-13,-5,0,-18,-2,6
24-Feb-20,,-14,-12,-5,-18,4,6
25-Feb-20,,-13,-8,-6,-16,12,7
26-Feb-20,,-7,-16,-11,-19,11,5
27-Feb-20,,4,-14,-7,0,8,3
28-Feb-20,,-12,-7,-7,-14,-1,5
29-Feb-20,,-7,-1,1,-8,-1,5
1-Mar-20,,-9,-3,4,-10,-2,3
2-Mar-20,,-16,-12,-9,-17,6,6
3-Mar-20,,-19,-15,-17,-19,10,8
4-Mar-20,,-23,-31,-36,-31,6,10
5-Mar-20,,3,-15,-16,-2,7,3
6-Mar-20,,-4,-2,-5,-12,1,5
7-Mar-20,,-21,10,-14,-15,-3,9
8-Mar-20,,-26,-12,-17,-24,-3,8
9-Mar-20,,-34,-23,-21,-29,-2,10
10-Mar-20,,-33,-21,-23,-30,5,12
11-Mar-20,,-28,-28,-28,-33,4,10
12-Mar-20,,-23,-29,-27,-22,0,8
13-Mar-20,,-34,-24,-29,-35,-8,11
14-Mar-20,,-33,-20,-27,-34,-8,13
15-Mar-20,,-37,-23,-28,-38,-6,12
16-Mar-20,,-37,-28,-29,-39,-2,11
17-Mar-20,,-43,-34,-40,-42,2,14
18-Mar-20,0,-42,-41,-49,-46,0,14
19-Mar-20,0,-29,-30,-36,-29,-1,10
20-Mar-20,0,-36,-21,-30,-38,-8,12
21-Mar-20,0,-34,-18,-27,-37,-9,14
22-Mar-20,0,-40,-24,-30,-43,-7,13
23-Mar-20,0,-40,-26,-31,-42,-4,13
24-Mar-20,0,-37,-21,-25,-40,1,13
25-Mar-20,0,-36,-32,-36,-44,-1,12
26-Mar-20,0,-36,-29,-33,-33,-5,10
27-Mar-20,0,-56,-26,-41,-46,-17,15
28-Mar-20,0,-64,-33,-46,-55,-24,20
29-Mar-20,0,-70,-44,-51,-63,-24,20
30-Mar-20,0,-69,-46,-53,-65,-25,22
31-Mar-20,0,-67,-32,-54,-62,-23,22
1-Apr-20,0,-74,-57,-67,-74,-40,28
2-Apr-20,104,-78,-63,-73,-76,-70,35
3-Apr-20,1,-81,-64,-74,-79,-51,33
4-Apr-20,1,-80,-58,-74,-79,-51,33
5-Apr-20,0,-80,-58,-72,-79,-44,29
6-Apr-20,4,-78,-56,-68,-77,-46,32
7-Apr-20,4,-75,-51,-65,-74,-41,31
8-Apr-20,1,-75,-60,-69,-76,-42,29
9-Apr-20,0,-70,-55,-64,-67,-42,25
10-Apr-20,1,-74,-51,-65,-73,-45,29
11-Apr-20,3,-74,-47,-64,-72,-44,28
12-Apr-20,0,-79,-56,-72,-78,-42,27
13-Apr-20,0,-76,-56,-67,-75,-41,30
14-Apr-20,0,-72,-47,-61,-70,-34,28
15-Apr-20,0,-70,-52,-62,-71,-33,26
16-Apr-20,0,-65,-50,-59,-61,-31,21
17-Apr-20,0,-72,-49,-62,-69,-38,26
18-Apr-20,0,-69,-43,-59,-67,-36,24
19-Apr-20,0,-70,-44,-58,-69,-30,21
20-Apr-20,0,-68,-46,-54,-67,-30,23
21-Apr-20,0,-68,-45,-57,-66,-26,24
22-Apr-20,0,-67,-49,-61,-68,-26,22
23-Apr-20,0,-51,-47,-57,-57,-20,17
24-Apr-20,0,-58,-47,-60,-63,-28,21
25-Apr-20,0,-43,-28,-43,-52,-24,18
26-Apr-20,0,-42,-28,-40,-52,-17,15
27-Apr-20,0,-37,-28,-32,-47,-13,14
28-Apr-20,0,-34,-23,-30,-41,-7,13
29-Apr-20,0,-25,-25,-30,-35,-8,8
30-Apr-20,0,-38,-19,-56,-16,-57,10
1-May-20,0,-58,-29,-66,-47,-67,20
2-May-20,0,-49,-20,-60,-34,-43,12
3-May-20,0,-40,-10,-51,-18,-12,4
4-May-20,0,-38,-8,-50,-18,-5,8
5-May-20,0,-36,-2,-50,-15,2,10
6-May-20,0,-30,-7,-51,-16,2,8
7-May-20,0,-19,-8,-41,-1,-1,5
8-May-20,0,-33,-6,-47,-18,-9,9
9-May-20,0,-25,4,-40,-12,-8,9
10-May-20,0,-22,10,-33,-9,-4,8
11-May-20,0,-25,6,-33,-8,3,6
12-May-20,0,-27,5,-36,-7,8,8
13-May-20,0,-29,-13,-48,-16,9,7
14-May-20,0,-8,2,-31,11,7,1
15-May-20,0,-23,4,-35,-7,-3,4
16-May-20,0,-15,15,-23,0,-6,6
17-May-20,0,-17,13,-22,-4,-4,6
18-May-20,0,-25,4,-27,-7,6,5
19-May-20,0,-22,7,-27,-4,14,5
20-May-20,0,-16,-4,-31,-11,12,4
21-May-20,0,-11,-4,-31,8,8,2
22-May-20,0,-20,10,-30,-5,1,4
23-May-20,0,-15,12,-22,-6,-3,7
24-May-20,0,-13,13,-17,-5,-3,6
25-May-20,0,-27,-3,-31,-12,6,5
26-May-20,0,-21,6,-27,-7,16,5
27-May-20,0,-14,-1,-31,-10,16,4
28-May-20,0,-5,0,-28,14,12,1
29-May-20,0,-18,8,-27,-3,2,4
30-May-20,0,-15,10,-27,-3,-1,5
31-May-20,0,-10,15,-17,-3,-3,4
1-Jun-20,0,-27,-3,-34,-12,8,6
2-Jun-20,0,-21,8,-27,-3,17,5
3-Jun-20,2,-14,-1,-30,-7,15,4
4-Jun-20,0,-7,-1,-30,12,13,1
5-Jun-20,0,-16,9,-17,-4,3,3
6-Jun-20,0,-10,15,-7,-3,-1,5
7-Jun-20,0,-14,8,-10,-8,-5,5
8-Jun-20,0,-22,2,-18,-10,11,4
9-Jun-20,0,-22,4,-20,-8,18,5
10-Jun-20,0,-21,-12,-33,-16,16,5
11-Jun-20,0,-1,-1,-24,9,13,1
12-Jun-20,0,-14,7,-18,-6,3,3
13-Jun-20,0,-8,14,-7,-4,0,5
14-Jun-20,0,-13,8,-17,-10,-3,6
15-Jun-20,0,-18,3,-19,-10,10,5
16-Jun-20,0,-15,8,-16,-6,19,5
17-Jun-20,0,-8,0,-19,-9,18,3
18-Jun-20,0,-1,-3,-20,9,14,1
19-Jun-20,0,-13,7,-16,-5,3,3
20-Jun-20,0,-7,15,-5,-3,1,4
21-Jun-20,0,-13,7,-10,-10,-3,5
22-Jun-20,0,-20,0,-17,-11,9,4
23-Jun-20,0,-20,2,-21,-10,16,5
24-Jun-20,0,-12,-2,-23,-11,17,4
25-Jun-20,0,-2,0,-20,9,13,1
26-Jun-20,0,-15,1,-18,-5,2,3
27-Jun-20,0,-12,4,-9,-5,-3,5
28-Jun-20,0,-15,1,-11,-8,-2,4
29-Jun-20,2,-18,-2,-16,-9,10,4
30-Jun-20,0,-13,3,-16,-5,18,5
1-Jul-20,20,-9,-7,-22,-10,16,4
2-Jul-20,0,2,-4,-17,10,12,1
3-Jul-20,0,-14,-1,-17,-6,2,4
4-Jul-20,0,-10,3,-13,-6,-1,5
5-Jul-20,1,-7,5,-2,-6,-2,3
6-Jul-20,0,-15,-3,-14,-8,8,4
7-Jul-20,1,-13,0,-14,-7,14,5
8-Jul-20,2,-7,-8,-19,-10,15,3
9-Jul-20,1,2,-7,-17,12,11,0
10-Jul-20,1,-9,2,-15,-4,0,2
11-Jul-20,0,-2,8,-2,-1,-3,3
12-Jul-20,0,-3,7,-1,-3,-2,2
13-Jul-20,1,-15,-3,-16,-9,6,4
14-Jul-20,0,-14,-1,-14,-7,11,4
15-Jul-20,0,-7,-8,-20,-12,10,3
16-Jul-20,0,1,-6,-17,9,4,1
17-Jul-20,2,-13,-1,-16,-9,-7,3
18-Jul-20,2,-7,4,-5,-6,-7,4
19-Jul-20,2,-8,4,-4,-8,-4,1
20-Jul-20,0,-17,-2,-16,-12,0,4
21-Jul-20,0,-17,-2,-16,-12,6,5
22-Jul-20,0,-8,-9,-19,-12,8,2
23-Jul-20,0,0,-9,-17,6,4,1
24-Jul-20,0,-13,1,-14,-7,-6,3
25-Jul-20,0,-7,6,-4,-4,-7,4
26-Jul-20,0,-16,-4,-16,-10,-6,2
27-Jul-20,0,-15,2,-12,-9,1,4
28-Jul-20,0,-15,1,-16,-9,8,6
29-Jul-20,0,-14,-8,-25,-15,7,5
30-Jul-20,0,-7,-10,-23,1,3,3
31-Jul-20,0,-21,-4,-25,-18,-7,7
1-Aug-20,1,-25,-6,-31,-21,-8,9
2-Aug-20,0,-41,-27,-49,-41,-15,13
3-Aug-20,2,-24,-5,-26,-26,-1,8
4-Aug-20,0,-26,-8,-30,-26,4,10
5-Aug-20,0,-25,-23,-40,-31,5,9
6-Aug-20,0,-10,-13,-31,-13,3,5
7-Aug-20,0,-21,-5,-27,-25,-4,7
8-Aug-20,0,-16,3,-19,-21,-5,8
9-Aug-20,0,-21,-3,-22,-26,-3,7
10-Aug-20,0,-23,-8,-23,-26,2,7
11-Aug-20,0,-22,-6,-26,-23,8,9
12-Aug-20,0,-10,-7,-23,-24,9,7
13-Aug-20,0,-9,-12,-28,-13,4,6
14-Aug-20,0,-22,-5,-29,-26,-5,8
15-Aug-20,0,-13,6,-18,-19,-5,8
16-Aug-20,0,-24,-6,-28,-28,-4,8
17-Aug-20,0,-31,-16,-31,-29,1,9
18-Aug-20,2,-26,-5,-31,-25,9,10
19-Aug-20,0,-20,-12,-31,-29,8,9
20-Aug-20,0,-10,-12,-26,-10,6,5
21-Aug-20,0,-25,-8,-31,-28,-4,9
22-Aug-20,0,-21,-4,-26,-25,-5,10
23-Aug-20,0,-17,1,-19,-25,-2,8
24-Aug-20,0,-27,-12,-26,-27,3,8
25-Aug-20,0,-20,-2,-21,-21,10,8
26-Aug-20,0,-14,-10,-24,-24,11,6
27-Aug-20,0,-4,-9,-23,-7,7,3
28-Aug-20,0,-18,-3,-23,-20,-2,6
29-Aug-20,1,-14,4,-17,-17,-4,6
30-Aug-20,0,-19,0,-18,-21,-2,4
31-Aug-20,0,-19,-3,-17,-21,2,5
1-Sep-20,0,-16,4,-16,-15,6,4
2-Sep-20,0,-12,-8,-16,-35,-60,14
3-Sep-20,0,-4,-11,-22,-2,6,0
4-Sep-20,0,-15,-1,-22,-19,-2,5
5-Sep-20,1,-6,7,-12,-15,2,6
6-Sep-20,0,-14,0,-19,-20,-4,7
7-Sep-20,0,-21,-5,-19,-20,4,6
8-Sep-20,0,-12,6,-10,-12,15,4
9-Sep-20,0,-7,-5,-18,-16,16,3
10-Sep-20,0,4,-4,-14,3,11,0
11-Sep-20,0,-8,5,-14,-11,2,2
12-Sep-20,0,-3,10,-7,-9,0,4
13-Sep-20,0,-4,11,-5,-12,-2,3
14-Sep-20,0,-15,0,-12,-14,13,2
15-Sep-20,0,-10,8,-9,-9,21,2
16-Sep-20,0,-4,1,-15,-13,19,1
17-Sep-20,0,2,-5,-15,2,14,-1
18-Sep-20,0,-12,1,-15,-10,3,2
