Date,active_cases,total_deaths,total_cases,daily_deaths,daily_cases
"Feb 15, 2020",0,0,0,0,0
"Feb 16, 2020",9,0,16,0,0
"Feb 17, 2020",9,0,16,0,0
"Feb 18, 2020",9,0,16,0,0
"Feb 19, 2020",2,0,16,0,0
"Feb 20, 2020",2,0,16,0,0
"Feb 21, 2020",1,0,16,0,0
"Feb 22, 2020",1,0,16,0,0
"Feb 23, 2020",1,0,16,0,0
"Feb 24, 2020",1,0,16,0,0
"Feb 25, 2020",0,0,16,0,0
"Feb 26, 2020",0,0,16,0,0
"Feb 27, 2020",0,0,16,0,0
"Feb 28, 2020",0,0,16,0,0
"Feb 29, 2020",0,0,16,0,0
"Mar 01, 2020",0,0,16,0,0
"Mar 02, 2020",0,0,16,0,0
"Mar 03, 2020",0,0,16,0,0
"Mar 04, 2020",0,0,16,0,0
"Mar 05, 2020",0,0,16,0,0
"Mar 06, 2020",1,0,17,0,1
"Mar 07, 2020",4,0,20,0,3
"Mar 08, 2020",15,0,31,0,11
"Mar 09, 2020",16,0,32,0,1
"Mar 10, 2020",19,0,35,0,3
"Mar 11, 2020",24,0,40,0,5
"Mar 12, 2020",29,0,45,0,5
"Mar 13, 2020",29,0,45,0,0
"Mar 14, 2020",38,0,54,0,9
"Mar 15, 2020",42,0,58,0,4
"Mar 16, 2020",46,0,62,0,4
"Mar 17, 2020",51,0,67,0,5
"Mar 18, 2020",62,0,78,0,11
"Mar 19, 2020",71,0,87,0,9
"Mar 20, 2020",76,0,93,0,6
"Mar 21, 2020",79,0,96,0,3
"Mar 22, 2020",102,0,119,0,23
"Mar 23, 2020",113,0,130,0,11
"Mar 24, 2020",125,0,142,0,12
"Mar 25, 2020",142,0,159,0,17
"Mar 26, 2020",144,0,164,0,5
"Mar 27, 2020",155,0,175,0,11
"Mar 28, 2020",166,0,187,0,12
"Mar 29, 2020",187,0,212,0,25
"Mar 30, 2020",168,0,223,0,11
"Mar 31, 2020",173,0,231,0,8
"Apr 01, 2020",174,0,237,0,6
"Apr 02, 2020",180,0,255,0,18
"Apr 03, 2020",176,0,261,0,6
"Apr 04, 2020",172,0,262,0,1
"Apr 05, 2020",173,0,263,0,1
"Apr 06, 2020",172,0,267,0,4
"Apr 07, 2020",150,0,273,0,6
"Apr 08, 2020",147,0,273,0,0
"Apr 09, 2020",149,0,277,0,4
"Apr 10, 2020",135,0,279,0,2
"Apr 11, 2020",136,0,280,0,1
"Apr 12, 2020",140,0,284,0,4
"Apr 13, 2020",141,0,287,0,3
"Apr 14, 2020",119,0,288,0,1
"Apr 15, 2020",119,0,290,0,2
"Apr 16, 2020",113,0,290,0,0
"Apr 17, 2020",92,0,290,0,0
"Apr 18, 2020",89,0,290,0,0
"Apr 19, 2020",88,0,290,0,0
"Apr 20, 2020",76,0,290,0,0
"Apr 21, 2020",74,0,290,0,0
"Apr 22, 2020",74,0,290,0,0
"Apr 23, 2020",74,0,290,0,0
"Apr 24, 2020",72,0,292,0,2
"Apr 25, 2020",72,0,292,0,0
"Apr 26, 2020",72,0,292,0,0
"Apr 27, 2020",72,0,292,0,0
"Apr 28, 2020",72,0,292,0,0
"Apr 29, 2020",70,0,292,0,0
"Apr 30, 2020",70,0,292,0,0
"May 01, 2020",70,0,292,0,0
