Date,daily_cases,retail_and_recreation,grocery_and_pharmacy,parks_change,transit_stations,workplaces,residential_change
01-Jun-21,2,-49,-14,-36,-60,-8,11
02-Jun-21,1,-48,-25,-42,-62,-9,10
03-Jun-21,2,-43,-24,-40,-54,-11,8
04-Jun-21,2,-46,-11,-36,-59,-16,9
05-Jun-21,4,-44,-6,-30,-57,-14,10
06-Jun-21,8,-48,-11,-31,-61,-19,10
07-Jun-21,6,-54,-25,-43,-63,-13,11
08-Jun-21,8,-54,-23,-43,-62,-7,12
09-Jun-21,12,-42,-14,-37,-59,-6,9
10-Jun-21,12,-39,-18,-36,-51,-8,6
11-Jun-21,17,-47,-11,-38,-58,-15,9
12-Jun-21,15,-48,-14,-37,-59,-18,11
13-Jun-21,21,-54,-21,-43,-65,-25,12
14-Jun-21,25,-48,-13,-32,-59,-11,7
15-Jun-21,23,-46,-9,-30,-55,-3,8
16-Jun-21,50,-44,-22,-40,-59,-5,7
17-Jun-21,51,-38,-21,-36,-49,-8,4
18-Jun-21,48,-48,-16,-39,-58,-15,8
19-Jun-21,60,-46,-11,-34,-56,-16,9
20-Jun-21,53,-49,-16,-36,-61,-22,9
21-Jun-21,60,-48,-16,-32,-58,-10,7
22-Jun-21,68,-36,-10,-31,-55,-2,6
23-Jun-21,58,-24,-10,-29,-55,-2,4
24-Jun-21,63,-23,-10,-27,-44,-4,2
25-Jun-21,73,-34,-7,-31,-52,-11,5
26-Jun-21,84,-30,-2,-24,-51,-12,6
27-Jun-21,94,-28,-1,-15,-52,-14,4
28-Jun-21,87,-34,-7,-19,-52,-5,4
29-Jun-21,89,-33,-4,-18,-51,1,5
30-Jun-21,85,-28,-13,-26,-54,0,2
01-Jul-21,80,-17,-9,-21,-40,-2,1
02-Jul-21,84,-30,-3,-24,-51,-9,4
03-Jul-21,73,-26,2,-17,-48,-11,5
04-Jul-21,67,-26,0,-13,-51,-17,4
05-Jul-21,70,-30,-3,-15,-49,-5,3
06-Jul-21,71,-29,2,-13,-47,2,3
07-Jul-21,68,-30,-15,-31,-53,0,4
08-Jul-21,73,-21,-12,-29,-43,-4,2
09-Jul-21,62,-31,1,-29,-52,-9,5
10-Jul-21,58,-29,4,-22,-52,-12,6
11-Jul-21,58,-29,1,-19,-54,-15,5
12-Jul-21,59,-34,-7,-25,-55,-6,4
13-Jul-21,55,-48,-10,-30,-55,0,7
14-Jul-21,52,-44,-18,-37,-58,0,6
15-Jul-21,57,-37,-16,-33,-48,-4,3
16-Jul-21,53,-47,-12,-37,-57,-11,7
17-Jul-21,52,-46,-6,-33,-56,-13,9
18-Jul-21,52,-51,-9,-38,-62,-20,11
19-Jul-21,59,-55,-17,-40,-62,-14,10
20-Jul-21,59,-58,-22,-42,-61,-13,13
21-Jul-21,60,-56,-32,-48,-65,-14,13
22-Jul-21,58,-52,-33,-48,-59,-18,11
23-Jul-21,75,-64,-31,-59,-71,-28,19
24-Jul-21,85,-67,-22,-56,-72,-34,21
25-Jul-21,86,-79,-47,-70,-84,-45,25
26-Jul-21,80,-79,-50,-69,-83,-47,28
27-Jul-21,80,-81,-52,-72,-84,-48,31
28-Jul-21,77,-81,-58,-76,-86,-51,31
29-Jul-21,76,-81,-61,-77,-84,-55,29
30-Jul-21,64,-83,-57,-79,-87,-59,34
31-Jul-21,53,-84,-57,-79,-87,-60,34
01-Aug-21,47,-86,-62,-80,-89,-57,31
02-Aug-21,45,-84,-62,-78,-88,-60,35
03-Aug-21,43,-84,-61,-78,-87,-59,36
04-Aug-21,39,-84,-66,-80,-87,-59,35
05-Aug-21,37,-82,-66,-80,-85,-61,32
06-Aug-21,32,-84,-62,-80,-87,-63,36
07-Aug-21,27,-83,-57,-79,-86,-62,34
08-Aug-21,25,-86,-64,-80,-89,-57,31
09-Aug-21,22,-84,-64,-78,-87,-61,35
10-Aug-21,19,-86,-66,-80,-88,-62,38
11-Aug-21,17,-84,-66,-81,-87,-61,35
12-Aug-21,15,-82,-65,-79,-84,-63,32
13-Aug-21,15,-84,-62,-79,-87,-65,37
14-Aug-21,16,-84,-61,-79,-87,-64,35
15-Aug-21,15,-86,-64,-80,-89,-60,32
16-Aug-21,14,-84,-62,-77,-87,-62,36
17-Aug-21,12,-85,-62,-78,-86,-61,37
18-Aug-21,11,-84,-66,-80,-87,-60,35
19-Aug-21,9,-81,-63,-78,-83,-62,31
20-Aug-21,6,-83,-57,-78,-86,-63,36
21-Aug-21,5,-83,-54,-76,-85,-63,34
22-Aug-21,4,-85,-62,-79,-88,-59,31
23-Aug-21,4,-84,-63,-76,-86,-62,35
24-Aug-21,3,-85,-62,-77,-86,-60,36
25-Aug-21,4,-83,-65,-79,-86,-60,35
26-Aug-21,5,-82,-65,-79,-83,-62,32
27-Aug-21,5,-85,-64,-81,-87,-65,38
28-Aug-21,6,-85,-63,-80,-86,-65,36
29-Aug-21,6,-86,-64,-80,-88,-61,32
30-Aug-21,7,-84,-62,-78,-86,-62,36
31-Aug-21,7,-84,-61,-77,-85,-61,37
01-Sep-21,7,-82,-64,-79,-85,-61,34
02-Sep-21,5,-85,-67,-83,-88,-84,39
03-Sep-21,4,-87,-66,-82,-89,-82,43
04-Sep-21,3,-84,-61,-80,-86,-70,36
05-Sep-21,3,-84,-62,-79,-87,-57,30
06-Sep-21,6,-81,-54,-73,-84,-64,34
07-Sep-21,6,-81,-54,-73,-83,-60,33
08-Sep-21,5,-82,-66,-79,-86,-63,34
09-Sep-21,9,-78,-61,-75,-81,-62,29
10-Sep-21,10,-79,-54,-74,-83,-63,32
11-Sep-21,11,-78,-51,-72,-82,-61,30
12-Sep-21,12,-79,-53,-71,-84,-56,26
13-Sep-21,9,-79,-56,-70,-83,-59,31
14-Sep-21,10,-80,-55,-72,-83,-57,32
15-Sep-21,11,-78,-59,-75,-84,-57,31
16-Sep-21,9,-71,-52,-69,-77,-56,25
17-Sep-21,9,-73,-47,-69,-80,-57,28
18-Sep-21,11,-69,-38,-63,-77,-55,26
19-Sep-21,12,-69,-38,-61,-78,-51,22
20-Sep-21,14,-69,-38,-60,-78,-50,24
21-Sep-21,17,-56,-18,-44,-70,-39,17
22-Sep-21,22,-56,-36,-52,-73,-33,15
23-Sep-21,29,-52,-35,-52,-66,-35,12
24-Sep-21,33,-65,-40,-61,-76,-41,19
25-Sep-21,39,-56,-24,-52,-72,-41,17
26-Sep-21,44,-56,-23,-49,-72,-44,15
27-Sep-21,51,-56,-27,-46,-71,-35,14
28-Sep-21,61,-54,-22,-40,-68,-30,14
29-Sep-21,69,-51,-29,-46,-70,-30,12
30-Sep-21,77,-45,-28,-43,-62,-32,9
01-Oct-21,81,-52,-21,-43,-68,-37,12
02-Oct-21,89,-49,-13,-38,-67,-38,13
03-Oct-21,119,-44,-6,-28,-66,-41,10
04-Oct-21,120,-55,-27,-39,-70,-34,12
05-Oct-21,127,-48,-11,-34,-64,-29,11
06-Oct-21,140,-47,-25,-39,-68,-28,10
07-Oct-21,145,-41,-24,-37,-60,-29,7
08-Oct-21,147,-49,-19,-39,-67,-34,11
09-Oct-21,165,-52,-21,-43,-68,-34,13
10-Oct-21,150,-66,-44,-62,-79,-44,19
11-Oct-21,169,-63,-40,-57,-77,-33,18
12-Oct-21,176,-44,-7,-25,-63,-21,9
13-Oct-21,192,-49,-30,-46,-68,-21,10
14-Oct-21,204,-37,-31,-49,-61,-22,8
15-Oct-21,222,-50,-33,-56,-70,-29,13
16-Oct-21,225,-34,-10,-41,-63,-29,11
17-Oct-21,240,-20,8,-18,-58,-31,5
18-Oct-21,248,-44,-24,-45,-66,-23,10
19-Oct-21,256,-29,-2,-28,-58,-16,7
20-Oct-21,252,-12,-5,-24,-57,,3
21-Oct-21,262,-20,-18,-35,-51,,3
22-Oct-21,271,-29,-8,-35,-58,,6
23-Oct-21,278,-19,4,-18,-52,,4
24-Oct-21,294,-17,5,-9,-52,,1
25-Oct-21,321,-31,-10,-25,-56,,5
26-Oct-21,355,-29,-6,-23,-54,,6
27-Oct-21,432,-23,-14,-30,-55,,4
28-Oct-21,453,-33,-32,-47,-54,,5
29-Oct-21,470,-42,-26,-52,-62,,10
30-Oct-21,510,-32,-12,-41,-58,,10
31-Oct-21,563,-22,0,-29,-55,,5
01-Nov-21,552,-36,-16,-36,-58,,7
